Offence,Section,Act,Definition,Points to Prove,CJS Code,Maximum Penalty,Charging Authority,Relevant Case Law,Notes,Category
Traffic offence variation 414,15,Road Traffic Act 1988,Contravenes road traffic regulations 414,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1982015,6 months imprisonment,Police,R v Example414 [1987] RTR 414,Road traffic violation 414,Traffic
Public order offence 415,16,Public Order Act 1986,Disrupts public order in specific manner 415,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1983016,6 months imprisonment,Police,R v Example415 [1987] QB 415,Public disorder 415,Public Order
Cybercrime offence 416,17,Computer Misuse Act 1990,Unlawfully uses computer systems 416,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1984017,10 years imprisonment,CPS,R v Example416 [2000] 2 AC 416,Digital crime 416,Cybercrime
Financial crime 417,18,Fraud Act 2006,Dishonestly obtains financial advantage 417,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1985018,10 years imprisonment,CPS,R v Example417 [2012] EWCA Crim 417,Economic offence 417,Financial Crime
Terrorism offence 418,19,Terrorism Act 2000,Engages in terrorist-related activity 418,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1986019,14 years imprisonment,CPS,R v Example418 [2007] EWCA Crim 418,National security threat 418,Terrorism
Environmental crime 419,20,Environmental Protection Act 1990,Causes environmental damage 419,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1987020,5 years imprisonment,Environment Agency,R v Example419 [1996] Env LR 419,Environmental damage 419,Environmental
Corporate offence 420,21,Companies Act 2006,Fails to comply with corporate duties 420,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1988021,2 years imprisonment,CPS,R v Example420 [1989] 1 WLR 420,Corporate compliance 420,Corporate Crime
Theft variation 421,22,Theft Act 1968,Dishonestly appropriates property in specific circumstances 421,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1989022,7 years imprisonment,CPS,R v Example421 [1982] QB 421,Specific theft circumstances 421,Theft
Assault variation 422,23,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 422,"1. Assault, 2. Unlawfully, 3. Another person",AS1990023,5 years imprisonment,CPS,R v Example422 [1976] 1 WLR 422,Specific assault type 422,Assault
Drug offence variation 423,24,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 423,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1991024,14 years imprisonment,CPS,R v Example423 [1986] 82 Cr App R 423,Drug-related conduct 423,Drugs
Traffic offence variation 424,25,Road Traffic Act 1988,Contravenes road traffic regulations 424,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1992025,6 months imprisonment,Police,R v Example424 [1987] RTR 424,Road traffic violation 424,Traffic
Public order offence 425,26,Public Order Act 1986,Disrupts public order in specific manner 425,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1993026,6 months imprisonment,Police,R v Example425 [1987] QB 425,Public disorder 425,Public Order
Cybercrime offence 426,27,Computer Misuse Act 1990,Unlawfully uses computer systems 426,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1994027,10 years imprisonment,CPS,R v Example426 [2000] 2 AC 426,Digital crime 426,Cybercrime
Financial crime 427,28,Fraud Act 2006,Dishonestly obtains financial advantage 427,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1995028,10 years imprisonment,CPS,R v Example427 [2012] EWCA Crim 427,Economic offence 427,Financial Crime
Terrorism offence 428,29,Terrorism Act 2000,Engages in terrorist-related activity 428,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1996029,14 years imprisonment,CPS,R v Example428 [2007] EWCA Crim 428,National security threat 428,Terrorism
Environmental crime 429,30,Environmental Protection Act 1990,Causes environmental damage 429,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1997030,5 years imprisonment,Environment Agency,R v Example429 [1996] Env LR 429,Environmental damage 429,Environmental
Corporate offence 430,31,Companies Act 2006,Fails to comply with corporate duties 430,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1998031,2 years imprisonment,CPS,R v Example430 [1989] 1 WLR 430,Corporate compliance 430,Corporate Crime
Theft variation 431,32,Theft Act 1968,Dishonestly appropriates property in specific circumstances 431,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1999032,7 years imprisonment,CPS,R v Example431 [1982] QB 431,Specific theft circumstances 431,Theft
Assault variation 432,33,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 432,"1. Assault, 2. Unlawfully, 3. Another person",AS2000033,5 years imprisonment,CPS,R v Example432 [1976] 1 WLR 432,Specific assault type 432,Assault
Drug offence variation 433,34,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 433,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2001034,14 years imprisonment,CPS,R v Example433 [1986] 82 Cr App R 433,Drug-related conduct 433,Drugs
Traffic offence variation 434,35,Road Traffic Act 1988,Contravenes road traffic regulations 434,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2002035,6 months imprisonment,Police,R v Example434 [1987] RTR 434,Road traffic violation 434,Traffic
Public order offence 435,36,Public Order Act 1986,Disrupts public order in specific manner 435,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2003036,6 months imprisonment,Police,R v Example435 [1987] QB 435,Public disorder 435,Public Order
Cybercrime offence 436,37,Computer Misuse Act 1990,Unlawfully uses computer systems 436,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2004037,10 years imprisonment,CPS,R v Example436 [2000] 2 AC 436,Digital crime 436,Cybercrime
Financial crime 437,38,Fraud Act 2006,Dishonestly obtains financial advantage 437,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2005038,10 years imprisonment,CPS,R v Example437 [2012] EWCA Crim 437,Economic offence 437,Financial Crime
Terrorism offence 438,39,Terrorism Act 2000,Engages in terrorist-related activity 438,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2006039,14 years imprisonment,CPS,R v Example438 [2007] EWCA Crim 438,National security threat 438,Terrorism
Environmental crime 439,40,Environmental Protection Act 1990,Causes environmental damage 439,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2007040,5 years imprisonment,Environment Agency,R v Example439 [1996] Env LR 439,Environmental damage 439,Environmental
Corporate offence 440,41,Companies Act 2006,Fails to comply with corporate duties 440,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC2008041,2 years imprisonment,CPS,R v Example440 [1989] 1 WLR 440,Corporate compliance 440,Corporate Crime
Theft variation 441,42,Theft Act 1968,Dishonestly appropriates property in specific circumstances 441,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH2009042,7 years imprisonment,CPS,R v Example441 [1982] QB 441,Specific theft circumstances 441,Theft
Assault variation 442,43,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 442,"1. Assault, 2. Unlawfully, 3. Another person",AS2010043,5 years imprisonment,CPS,R v Example442 [1976] 1 WLR 442,Specific assault type 442,Assault
Drug offence variation 443,44,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 443,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2011044,14 years imprisonment,CPS,R v Example443 [1986] 82 Cr App R 443,Drug-related conduct 443,Drugs
Traffic offence variation 444,45,Road Traffic Act 1988,Contravenes road traffic regulations 444,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2012045,6 months imprisonment,Police,R v Example444 [1987] RTR 444,Road traffic violation 444,Traffic
Public order offence 445,46,Public Order Act 1986,Disrupts public order in specific manner 445,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2013046,6 months imprisonment,Police,R v Example445 [1987] QB 445,Public disorder 445,Public Order
Cybercrime offence 446,47,Computer Misuse Act 1990,Unlawfully uses computer systems 446,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2014047,10 years imprisonment,CPS,R v Example446 [2000] 2 AC 446,Digital crime 446,Cybercrime
Financial crime 447,48,Fraud Act 2006,Dishonestly obtains financial advantage 447,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2015048,10 years imprisonment,CPS,R v Example447 [2012] EWCA Crim 447,Economic offence 447,Financial Crime
Terrorism offence 448,49,Terrorism Act 2000,Engages in terrorist-related activity 448,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2016049,14 years imprisonment,CPS,R v Example448 [2007] EWCA Crim 448,National security threat 448,Terrorism
Environmental crime 449,50,Environmental Protection Act 1990,Causes environmental damage 449,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2017050,5 years imprisonment,Environment Agency,R v Example449 [1996] Env LR 449,Environmental damage 449,Environmental
Corporate offence 450,51,Companies Act 2006,Fails to comply with corporate duties 450,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1968051,2 years imprisonment,CPS,R v Example450 [1989] 1 WLR 450,Corporate compliance 450,Corporate Crime
Theft variation 451,52,Theft Act 1968,Dishonestly appropriates property in specific circumstances 451,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1969052,7 years imprisonment,CPS,R v Example451 [1982] QB 451,Specific theft circumstances 451,Theft
Assault variation 452,53,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 452,"1. Assault, 2. Unlawfully, 3. Another person",AS1970053,5 years imprisonment,CPS,R v Example452 [1976] 1 WLR 452,Specific assault type 452,Assault
Drug offence variation 453,54,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 453,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1971054,14 years imprisonment,CPS,R v Example453 [1986] 82 Cr App R 453,Drug-related conduct 453,Drugs
Traffic offence variation 454,55,Road Traffic Act 1988,Contravenes road traffic regulations 454,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1972055,6 months imprisonment,Police,R v Example454 [1987] RTR 454,Road traffic violation 454,Traffic
Public order offence 455,56,Public Order Act 1986,Disrupts public order in specific manner 455,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1973056,6 months imprisonment,Police,R v Example455 [1987] QB 455,Public disorder 455,Public Order
Cybercrime offence 456,57,Computer Misuse Act 1990,Unlawfully uses computer systems 456,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1974057,10 years imprisonment,CPS,R v Example456 [2000] 2 AC 456,Digital crime 456,Cybercrime
Financial crime 457,58,Fraud Act 2006,Dishonestly obtains financial advantage 457,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1975058,10 years imprisonment,CPS,R v Example457 [2012] EWCA Crim 457,Economic offence 457,Financial Crime
Terrorism offence 458,59,Terrorism Act 2000,Engages in terrorist-related activity 458,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1976059,14 years imprisonment,CPS,R v Example458 [2007] EWCA Crim 458,National security threat 458,Terrorism
Environmental crime 459,60,Environmental Protection Act 1990,Causes environmental damage 459,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1977060,5 years imprisonment,Environment Agency,R v Example459 [1996] Env LR 459,Environmental damage 459,Environmental
Corporate offence 460,61,Companies Act 2006,Fails to comply with corporate duties 460,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1978061,2 years imprisonment,CPS,R v Example460 [1989] 1 WLR 460,Corporate compliance 460,Corporate Crime
Theft variation 461,62,Theft Act 1968,Dishonestly appropriates property in specific circumstances 461,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1979062,7 years imprisonment,CPS,R v Example461 [1982] QB 461,Specific theft circumstances 461,Theft
Assault variation 462,63,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 462,"1. Assault, 2. Unlawfully, 3. Another person",AS1980063,5 years imprisonment,CPS,R v Example462 [1976] 1 WLR 462,Specific assault type 462,Assault
Drug offence variation 463,64,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 463,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1981064,14 years imprisonment,CPS,R v Example463 [1986] 82 Cr App R 463,Drug-related conduct 463,Drugs
Traffic offence variation 464,65,Road Traffic Act 1988,Contravenes road traffic regulations 464,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1982065,6 months imprisonment,Police,R v Example464 [1987] RTR 464,Road traffic violation 464,Traffic
Public order offence 465,66,Public Order Act 1986,Disrupts public order in specific manner 465,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1983066,6 months imprisonment,Police,R v Example465 [1987] QB 465,Public disorder 465,Public Order
Cybercrime offence 466,67,Computer Misuse Act 1990,Unlawfully uses computer systems 466,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1984067,10 years imprisonment,CPS,R v Example466 [2000] 2 AC 466,Digital crime 466,Cybercrime
Financial crime 467,68,Fraud Act 2006,Dishonestly obtains financial advantage 467,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1985068,10 years imprisonment,CPS,R v Example467 [2012] EWCA Crim 467,Economic offence 467,Financial Crime
Terrorism offence 468,69,Terrorism Act 2000,Engages in terrorist-related activity 468,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1986069,14 years imprisonment,CPS,R v Example468 [2007] EWCA Crim 468,National security threat 468,Terrorism
Environmental crime 469,70,Environmental Protection Act 1990,Causes environmental damage 469,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1987070,5 years imprisonment,Environment Agency,R v Example469 [1996] Env LR 469,Environmental damage 469,Environmental
Corporate offence 470,71,Companies Act 2006,Fails to comply with corporate duties 470,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1988071,2 years imprisonment,CPS,R v Example470 [1989] 1 WLR 470,Corporate compliance 470,Corporate Crime
Theft variation 471,72,Theft Act 1968,Dishonestly appropriates property in specific circumstances 471,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1989072,7 years imprisonment,CPS,R v Example471 [1982] QB 471,Specific theft circumstances 471,Theft
